,0,1,2,3,4,5,6,7
0,0.791,1,0.208,0.955,1,0.045,1,1
1,0.791,1,0.208,0.955,1,0.045,1,1
2,0.791,1,0.208,0.955,1,0.045,1,1
3,0.592,1,0.408,0.905,1,0.095,1,1
4,0.592,1,0.408,0.905,1,0.095,1,1
5,0.592,1,0.408,0.905,1,0.095,1,1
6,0.466,0.991,0.526,0.855,0.998,0.143,0.998,1
7,0.466,0.991,0.526,0.855,0.998,0.143,0.998,1
8,0.466,0.991,0.526,0.855,0.998,0.143,0.998,1
9,0.334,0.892,0.558,0.803,0.977,0.173,0.981,0.958
10,0.334,0.892,0.558,0.803,0.977,0.173,0.981,0.958
11,0.334,0.9,0.566,0.803,0.978,0.175,0.981,0.966
